fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"196",AV,"4",,JULES FERRY,AV JULES FERRY,,,,,,,,,,,,,,
"197",R,"5",,DU CYCLE,R DU CYCLE,,,,,,,,,,,,,,
"201",AV,"5",,GUEUGNON,AV GUEUGNON,,,,,,,,,,,,,,
"202","5","5",ALL RAPHAEL,"5","5",privé,,,,,,,,,,,,,
"203",R,"6",,MARGUERITE DURAS,R MARGUERITE DURAS,,,,,,,,,,,,,,
"204",R,"5",,PAUL RENAUD,R PAUL RENAUD,,,,,,,,,,,,,,
"205",ALL,"5",,DES BOSQUETS,ALL DES BOSQUETS,,,,,,,,,,,,,,
"206",R,"5",,FRANCOIS MARTIN,R FRANCOIS MARTIN,privé,,,,,,,,,,,,,
"207",R,"5",,DU VIEUX MOULIN,R DU VIEUX MOULIN,,,,,,,,,,,,,,
"208",IMP,"4",,DU CASTEL,IMP DU CASTEL,privé,,,,,,,,,,,,,
"209",ALL,"5",,DE LA PAIX,ALL DE LA PAIX,,,,,,,,,,,,,,
"210",R,"5",,HENRI DUNANT,R HENRI DUNANT,privé,,,,,,,,,,,,,
"211",ALL,"5",,JOSE MARTI,ALL JOSE MARTI,,,,,,,,,,,,,,
"212","13","5",R THEODORE MONOD,"13","13",public,,,,,,,,,,,,,
"213",ALL,"5",,DES SYCOMORES,ALL DES SYCOMORES,privé,,,,,,,,,,,,,
"214",R,"5",,DU MOLERET,R DU MOLERET,,,,,,,,,,,,,,
"216",R,"5",,ROBERT DOUVILLEZ,R ROBERT DOUVILLEZ,,,,,,,,,,,,,,
"217",ALL,"5",,DES COLOMBES,ALL DES COLOMBES,,,,,,,,,,,,,,
"220",ALL,"5",,DE FURCI,ALL DE FURCI,privé,,,,,,,,,,,,,
"221",ALL,"5",,DES VIGNES,ALL DES VIGNES,,,,,,,,,,,,,,
"222",AV,"5",,DE L'IDEAL,AV DE L'IDEAL,,,,,,,,,,,,,,
"224",R,"5",,DESIRE LEON,R DESIRE LEON,,,,,,,,,,,,,,
"225",ALL,"5",,ANDREA,ALL ANDREA,,,,,,,,,,,,,,
"227",ALL,"6",,C GOUNOD,ALL C GOUNOD,privé,,,,,,,,,,,,,
"229",R,"5",,JULES LECOMTE,R JULES LECOMTE,,,,,,,,,,,,,,
"230",AV,"3",,ALBERT THOMAS,AV ALBERT THOMAS,,,,,,,,,,,,,,
"231",CH,"5",,DE LA MARE A LA VEUVE PROLONGEE,CH DE LA MARE A LA VEUVE PROLONGEE,,,,,,,,,,,,,,
"232",R,"5",,ARTHUR GROUSSIER,R ARTHUR GROUSSIER,,,,,,,,,,,,,,
