"","numero","nom_voie","nom"
"226803",13,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226804",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226872",81,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226874",85,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226876",87,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226877",89,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226879",91,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226881",93,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226883",95,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226884",96,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226885",97,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226886",100,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226887",102,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226888",104,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226889",105,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226890",106,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226891",107,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226892",109,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226893",111,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226894",112,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226895",113,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226896",114,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226897",115,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226898",116,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226899",117,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226900",118,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
"226901",119,"Rue Roger Salengro","la mare à la Veuve la remise à Jorelle"
